Feature,Score
and,0.07392130672642683
the,0.07168125238977863
bad,0.061708857701112896
worst,0.044148447629527965
of,0.04373416912189687
is,0.040237669483375926
his,0.03927660094095686
boring,0.03542170559669644
life,0.0340108758951716
stupid,0.03388452291319999
as,0.03354330400490413
in,0.03124905333024275
wasted,0.026809903822508252
great,0.026247571803136638
also,0.026113087031653825
waste,0.025710217573986727
most,0.02560060351823301
supposed,0.025394943382968105
outstanding,0.024031927848702894
awful,0.023670058207917122
ridiculous,0.023631015497001084
excellent,0.02181465761702206
world,0.02160848967171214
best,0.021602783776342394
many,0.021528707658273416
from,0.021372875757093568
perfect,0.02116844328127343
movie,0.021149306255463518
he,0.020722223536363882
wonderful,0.020505868718250997
memorable,0.01981272887156882
mess,0.019723101317221325
lame,0.01956907958453613
very,0.01952422377373464
wonderfully,0.018697512378233028
both,0.018513420644489798
allows,0.018171846547981096
plot,0.01798845344088673
terrible,0.017945747740786278
own,0.017793657278185604
true,0.017742098553023777
dull,0.017600536013486878
script,0.01740684540229609
family,0.017070534101320423
star,0.016987962161505887
poorly,0.016897234984436516
terrific,0.016701161066832948
bland,0.01630283548103295
why,0.015859217225700162
different,0.0155894001468595
realistic,0.015560242248125578
subtle,0.015406229358779333
quite,0.01538961342032652
era,0.015256544153582685
for,0.01511209395637314
perfectly,0.014759391296207625
brilliant,0.014706060969486234
job,0.014367561520256977
that,0.014097242512404184
performance,0.01391333475739398
american,0.013756905289158072
have,0.013535930981801725
unfunny,0.0135022456337337
well,0.013485985028739544
you,0.01348006388695655
worse,0.01332993918458536
its,0.013172624975250735
finest,0.0130949146654602
it,0.013083116645342008
effective,0.013077126316985321
maybe,0.013001501604842147
unfortunately,0.01294297866449301
portrayal,0.012926261146643858
especially,0.012892988388667703
story,0.012840575555038258
nothing,0.012823180321664296
least,0.012822914178108324
more,0.012755736006369589
pointless,0.012723186692288557
we,0.012712800367100208
gives,0.01255526369192872
only,0.012452412689578973
ludicrous,0.012428928750469304
performances,0.012345778618546133
dark,0.012309231657572806
yet,0.01222483278737041
war,0.012127207317956468
reason,0.01205076284091633
would,0.011969991177960604
others,0.011969632149826048
laughable,0.01190290246272896
fails,0.011778892926999074
magnificent,0.01177610323365319
people,0.011748911768109771
political,0.011725991852676754
visual,0.011711446296977401
hilarious,0.011528014934014563
fantastic,0.011525585591048992
history,0.011497950283982261
superb,0.01142662028534669
no,0.011368311429172495
this,0.011321169085816374
view,0.011261204978116779
idiotic,0.011192219595491326
although,0.011184100751880255
but,0.011163283518748401
oscar,0.011141707470244011
culture,0.011060324536791288
flaws,0.01104181358016254
action,0.011036238089583983
beautifully,0.011035686319154192
works,0.01097145325006299
am,0.01091033485487325
seen,0.010895622793015147
if,0.01082176444480043
into,0.01079163018276752
intelligent,0.010728021110630204
her,0.01063478085788172
not,0.010568463378667126
murphy,0.010488829073965089
bore,0.010471015747569257
looks,0.010433569348939575
minute,0.010408144763595861
none,0.010386816425348111
damon,0.010370058885319944
overall,0.010349631889496447
anger,0.010307552015388244
powerful,0.010182321517781423
young,0.01018210444142198
strong,0.010178909203056197
often,0.01014194036384597
stupidity,0.010100003370290933
who,0.010047696375606652
films,0.010007655632957468
sucks,0.009971626670852718
captures,0.009946604690617922
heres,0.009934625899014837
him,0.00990718578997074
she,0.009900881824573715
inept,0.009857976040598904
flawless,0.009814939188718674
their,0.009777024183041827
portrayed,0.00972885514352917
poor,0.009690976026236586
being,0.009690042772357299
mother,0.009671539703054233
cameron,0.009537710636539298
always,0.009519819282441389
tale,0.009486975927060715
an,0.009425166338737578
project,0.00940265492395631
other,0.009394460663458726
george,0.009359855854640053
jackie,0.009355449192599452
they,0.009290447447706907
america,0.009224399508026337
so,0.009219270442207494
solid,0.009186955371644934
complex,0.009146284077363842
first,0.009145276178561201
whatsoever,0.009127852493816868
animated,0.009077350860941857
teacher,0.009062148604508158
get,0.00903957140018019
small,0.00903167978283359
badly,0.008991612904224011
masterpiece,0.008989738498089705
one,0.008981422626029634
mature,0.008980525402450867
lifeless,0.008976940778124831
breathtaking,0.008976940778124831
insulting,0.008967961312796646
simple,0.008965322362687655
fiction,0.008873926508113139
beautiful,0.008866014371745168
right,0.008859946263398366
attempt,0.008849706661943402
nomination,0.00884877597500977
sometimes,0.008844904687684396
predictable,0.008791067655154028
mood,0.008790646756657972
however,0.008692214082162697
while,0.00868344971913848
clich,0.008671874073166164
disney,0.00866236218000993
period,0.008659853517582916
normal,0.008645719450408706
deserves,0.008642305758993385
than,0.00862963494317237
marvelous,0.008548702780885709
takes,0.008547361504806728
day,0.00851048890768391
there,0.008510448826704597
definitely,0.008506840594376786
giving,0.008497716239845188
throughout,0.008493081173179595
ordinary,0.00844891908056744
father,0.008412223517506034
turkey,0.008395433367247573
spielbergs,0.008383848460120524
guy,0.008381365014681896
blame,0.008357615286171738
subplot,0.008316326848517686
was,0.008304992179208215
off,0.008287977313387263
like,0.008251391503834249
bunch,0.008212458661508326
may,0.008212335919360436
painfully,0.008159632527617755
despite,0.008158577808859091
carrey,0.00815199673076128
unlike,0.008144771588182609
still,0.00812554405409649
save,0.008123300576639236
minutes,0.008107089695737368
between,0.008075008481541412
beauty,0.008068556357186951
begins,0.008037587388626144
pretty,0.008028516718145862
girls,0.008024492282284967
greatest,0.008007093268382004
personal,0.007939381721184802
change,0.007908968035432173
shows,0.007904415181715918
similar,0.007884446234498577
see,0.0078665660970213
frank,0.00785741330286105
town,0.007834138078919639
jokes,0.007825805649987139
seamless,0.007821757360319648
natural,0.007809087782177815
religion,0.0078086511296936445
julie,0.007776352034702172
love,0.007758194865718826
anyway,0.007750722299297963
new,0.007734076392883926
satisfying,0.007692030765173996
highly,0.007653265163057421
has,0.007629767328593329
unique,0.0076264393727103474
joe,0.007619924042065462
understanding,0.007611713367695616
batman,0.007589401746712965
court,0.007585482987681025
able,0.007566384134280235
at,0.007563841550526917
better,0.00754100798660462
themes,0.007539969554983705
garbage,0.007532423989471404
wars,0.007514782077689186
uninteresting,0.007505550630421132
epic,0.007481165979639548
avoids,0.00748060052653976
reality,0.007475029425822122
dumb,0.007464421461641502
chemistry,0.0074457457318515274
any,0.007444028782398249
extremely,0.007434890167406838
friendship,0.007425018987248233
come,0.00741986124473204
ending,0.007414706437633645
age,0.007410980336937989
moving,0.007396005357098057
will,0.007395652365248084
finds,0.0073618982236807184
lucas,0.0073593178429576245
dream,0.0073547381927426825
death,0.0073543994964543336
respectively,0.007337535739623258
zero,0.0073210125417032534
sat,0.007319289950720287
sequel,0.007313495762647393
reeves,0.007296032106222539
did,0.007289610421939652
schumacher,0.007260164584083073
degenerates,0.007260122118463053
animation,0.0072562909430896605
truman,0.007249571852456227
tedious,0.007245437198034832
loud,0.00723485468875118
anywhere,0.007233316757326302
touching,0.007218530849687155
apparently,0.007215350633679618
contrast,0.00721477738963916
debate,0.0071702093033590986
another,0.007155773047107461
pulp,0.007105133992487356
through,0.007096416393560956
clearly,0.007091429513599645
almost,0.0070752924207651
images,0.007052765837370467
random,0.007007979166340883
please,0.006961722623178179
details,0.00696158240926481
are,0.006933837419085487
system,0.006926835460310921
friends,0.006924823680387271
maintains,0.006923620937581143
depicted,0.006923620937581143
city,0.006914836369667388
nature,0.006872293869545687
hour,0.006866571056697635
write,0.006848840175884829
witty,0.006847670595443334
fishing,0.0068300060414141495
do,0.006827037889516774
sees,0.006804096561915385
remains,0.006799686192528798
flat,0.006793934531761026
jedi,0.00678538703908127
cage,0.006751373281437156
idea,0.00674620967729278
share,0.0067405378028995155
big,0.006732979099817293
social,0.006724313538792437
lousy,0.006722868903824564
vulnerable,0.0067066126260710845
interview,0.0067066126260710845
melancholy,0.006698941965808669
lovingly,0.006698941965808669
feeble,0.006698941965808669
aliens,0.006644020400442097
creates,0.0066241723840887445
science,0.006617350322087434
nonsense,0.006607461567769257
scream,0.00660591849951897
house,0.006594875119410593
dog,0.006584008796024721
sense,0.006579921962929891
decades,0.0065787275738153905
upper,0.006568221269803609
triumph,0.006551032745074958
commanding,0.006551032745074958
john,0.0065349353823696
helps,0.00653407735883893
tribute,0.006496882310153107
does,0.0064935632976661495
redeeming,0.006491000965624161
lives,0.00648948043537434
heart,0.0064628136388859
ideal,0.006462269207416882
side,0.006452120057123478
contemporary,0.006445795476102134
chris,0.006441460458482595
destined,0.006438955965818671
miscast,0.006438412307350649
amazing,0.006415865826814304
mind,0.006412164062640113
become,0.006410138004817045
black,0.006403269074922946
play,0.006400463307227211
william,0.006395495949240493
presumably,0.006387885213297473
delightful,0.006369721195583655
nick,0.006369402111359612
fits,0.006353248122610289
seagal,0.006327386701411086
should,0.006323499208620964
man,0.0063147922265028855
talent,0.006313497935659607
rather,0.006311991400249517
class,0.006309213904283406
skip,0.006304650824608848
much,0.006302571244676702
theme,0.006279728504237747
italian,0.006276694140127992
cinematography,0.006266211467822025
production,0.006258467796386835
church,0.006239643664499583
hollow,0.006231025844078086
human,0.006228345358073373
views,0.006227026391126045
my,0.0062221426034415606
cops,0.0062106610190675315
classic,0.0062095578739345125
good,0.006209170969374567
musical,0.006197538742499287
each,0.006177346596510147
guess,0.006159123299870672
fine,0.00615814136492876
brooks,0.006152321551312623
ideals,0.006138216135630592
gattaca,0.006138216135630592
controversial,0.006135058320577036
private,0.006134865634666142
feel,0.006126043245284207
whom,0.006121541525178853
got,0.006120987126293609
carter,0.006119903853879394
nevertheless,0.00611314481584091
elliot,0.006107269817362426
country,0.006101523808288212
out,0.006101487445352438
freedom,0.006100185211203701
car,0.006099696443406688
detail,0.006082708682883187
harris,0.006082337683505634
german,0.00607140976580256
fargo,0.006066950598326959
chan,0.006061184880886916
club,0.006036273720136931
balance,0.006018586340164611
eddie,0.0060135872190164585
planet,0.006011167304172393
because,0.006009236806168716
alex,0.00600031931577738
crap,0.005999760425925316
tries,0.005992694907226315
innocence,0.005988393391984093
fool,0.005985945039126306
approach,0.005975564945593037
jack,0.005948882943229816
ben,0.005938961539201926
way,0.005938601453693182
slip,0.005934783851422543
embarrassing,0.00592574591168149
forgot,0.005923526226911724
filmmakers,0.005916615222509081
had,0.005911192155186651
pie,0.005907483317550644
light,0.005899644946234184
known,0.005897760050053602
joke,0.005869120836808572
mission,0.00586366793123283
blair,0.005848454393802771
rock,0.00584844818285013
trailer,0.005839021974988756
ryan,0.005838775159995202
vision,0.005830113848080298
americas,0.005822638240972067
attempts,0.0058178561939336015
be,0.005811587503716353
even,0.005810094034443214
cinema,0.005797783187534544
spectacular,0.005789312634844057
deep,0.00577184427373334
harrison,0.00576608996406669
niro,0.005765958383294856
himself,0.005749687994555774
some,0.005747096521432349
identity,0.00574665876486824
inane,0.005738791601094473
during,0.005719640219297828
liam,0.005715593676034358
against,0.0057154583005303294
museum,0.005709894121060155
shot,0.00570942937197827
uninvolving,0.005704911989953376
unintentional,0.005704911989953376
sandler,0.0057027424761464385
color,0.005700496658919918
unusual,0.005698278059512729
could,0.005694370558016915
several,0.005689423812185845
place,0.005680867014944413
flying,0.005674524366373279
rare,0.005667896654137361
sloppy,0.005662594269345345
poignant,0.005662594269345345
belief,0.005660721335588703
intense,0.00565718826975492
contact,0.005656868482003641
message,0.005630143388724029
edge,0.005617302732773943
mcconaughey,0.005601750568507868
character,0.0056004246744945085
screen,0.00559985836848742
sex,0.0055901496358077285
issues,0.005585441970028637
eve,0.005585057754395328
wielding,0.00557794386321242
comforts,0.00557794386321242
angels,0.005576883620722728
colors,0.00557650296945178
pile,0.0055710885825497325
bruckheimer,0.005569884045623863
just,0.0055644204662181895
ritual,0.005563615319480131
ripley,0.005563615319480131
cookie,0.005563615319480131
things,0.005553959129826036
school,0.005537824357231935
what,0.005537805756033687
alas,0.005532855393681313
alien,0.005506590918152088
effortlessly,0.005503920204334989
language,0.005502878309780801
bugs,0.00550141068075416
fictional,0.005490396306492951
incoherent,0.005483913154654019
darker,0.005483913154654019
ambitious,0.005482749878546134
nicely,0.005475403620531116
events,0.0054732521565539205
emperor,0.0054717177289327346
academy,0.005461307627563361
uninspired,0.005454144123963056
aspects,0.005446620085799547
mulan,0.005446517306334608
society,0.005430822876786201
towards,0.005430721437849284
everyday,0.005427094550755407
ourselves,0.0054266145700155866
dialogue,0.005415482992168874
visually,0.005404648671772483
pace,0.00539934866858105
won,0.005395134447229721
bug,0.00538312486437198
movies,0.005374116365707504
jane,0.005371688527967766
uses,0.005366896155973855
perspective,0.005364839644881214
pure,0.005356211002254363
journey,0.005339873373410575
hanks,0.00533873606309887
or,0.005334947955255243
mad,0.005332790572076251
bit,0.0053283757352983185
community,0.005326905741319554
tucker,0.00532505360824842
delivers,0.00531800712681707
emotionally,0.005313996329356696
fun,0.0053133038156604195
key,0.005312726467636142
date,0.005308876674774865
then,0.005295187823807557
winner,0.005294134801018702
truth,0.005281720090883124
robbie,0.005269563918875009
luckily,0.005269460296776773
neither,0.005259664844194933
run,0.005258613547335256
offbeat,0.005256598394278944
wild,0.005256318335617904
mcgowan,0.005244001763778927
stunning,0.005241065155837221
subplots,0.005240849632547895
ford,0.005228148578947045
compelling,0.005226401542746784
sets,0.005210057944435964
summer,0.005208870295834611
money,0.005207602649348164
vampires,0.0052045406628858926
humanity,0.005200446362704447
students,0.005195078989786661
must,0.005193386945911427
army,0.005190111591001245
major,0.005183425600466585
novel,0.00518323280066002
process,0.005179084944950896
too,0.005175288837985459
refreshing,0.005173398759706127
prisoners,0.005163020778536254
revolutionary,0.005158586960676614
banderas,0.00515806040413147
cusack,0.00515061505054748
yeah,0.005135796155123051
white,0.005134225713852025
relationship,0.0051278134014211
hatred,0.005124274299939557
somewhat,0.0051165440657563455
violence,0.005114036535501021
comic,0.005110924709588627
witch,0.005107432040510229
food,0.005107384801693704
harry,0.005100475489687506
wife,0.005099225793762097
miserably,0.005098624531318041
similarities,0.00509713737712103
knowledge,0.005095474366983099
sister,0.005087457045636956
featuring,0.005087169898881139
extraordinary,0.0050839460759457555
tarzan,0.005081590326677987
uplifting,0.005075277028204761
every,0.005059716381831669
awesome,0.005051727679075468
symbol,0.005051310217991212
concentration,0.005051310217991212
songs,0.005042709578464977
year,0.005038952642209993
ripoff,0.005038544156768965
leader,0.005035812305849707
crosses,0.005033359356719447
years,0.005022512380765343
mel,0.005021060141563782
last,0.005019960874655616
including,0.005018828928596397
mena,0.005018144648039291
uncut,0.005018124385838485
terri,0.005018124385838485
tedium,0.005018124385838485
plodding,0.005018124385838485
pathetically,0.005018124385838485
niccol,0.005018124385838485
meryl,0.005018124385838485
