Feature,Score
and,0.0723685458771719
the,0.06905758707069376
bad,0.06575579693586686
worst,0.048208647208027644
of,0.04455386510233694
stupid,0.03658435301609786
his,0.03635920910879942
life,0.03562101452078781
is,0.03453476039686221
as,0.03362172888532655
boring,0.031484483057203194
in,0.031082083240225655
wasted,0.027879722083723246
great,0.02602348654021458
awful,0.025518683991922808
waste,0.024884885805430468
most,0.02395156819686972
ridiculous,0.02369765930249701
also,0.023204718879096697
from,0.022400805953248004
supposed,0.022385289407883202
perfect,0.022321881766821816
he,0.02173276199020302
movie,0.021477916823762433
lame,0.02144823478742708
mess,0.021176857009580052
wonderful,0.021135693829338997
world,0.020808786492859666
best,0.02065347383099636
both,0.02019259776134763
wonderfully,0.01994085824286551
plot,0.019895898480567276
outstanding,0.019479024537806366
why,0.019240471666516323
memorable,0.01884166581692892
it,0.018367158884998402
excellent,0.017638817599684664
performances,0.0174620165862861
many,0.01737270773309274
true,0.017135162482312616
script,0.016889308442978535
hilarious,0.016712148864643672
dull,0.01669638062004053
perfectly,0.016580926146242292
maybe,0.0164237452832392
very,0.016382059213327804
effective,0.016038282299485895
different,0.015980503953744618
for,0.01576193425540129
star,0.0155765235502201
terrible,0.015473580904505346
that,0.015418070737391654
terrific,0.015129925335297001
own,0.015023833490072414
poorly,0.014982229843507722
we,0.014957129236092603
finest,0.014890505620087313
american,0.014791572308224366
subtle,0.014787536197477302
family,0.014776672713583405
least,0.014743893133334574
allows,0.014619372898059368
poor,0.014605778447507767
although,0.014426914918483691
performance,0.014374432005178517
war,0.01427453954150082
unfortunately,0.014171942566590268
nothing,0.014011520880684358
especially,0.013762626695365099
deserves,0.013616864272729456
quite,0.013583565615333582
realistic,0.013521980689469526
bland,0.013520532551164366
brilliant,0.013417325184636786
unfunny,0.013209022231935763
its,0.013206711117882297
this,0.013201722308239128
pointless,0.013089995853406311
story,0.012927926683118374
would,0.012918443372696542
more,0.012895183778901753
job,0.012658046142411283
minute,0.01255435723868259
often,0.012470936943701383
she,0.012385415341220396
superb,0.012226697288431176
have,0.012147466917652006
looks,0.012121306850600866
her,0.012111210786753257
you,0.012086765408314326
tale,0.011792905804775766
town,0.011779501062939901
others,0.011730137790073036
but,0.011652805006489242
no,0.011583537198090355
gives,0.011571036858985861
era,0.011521126365936496
portrayal,0.011517772081248379
films,0.011497606640519575
am,0.011495783114410019
solid,0.01148169106698027
flaws,0.011396382695258
jokes,0.011241368301901922
they,0.011136021809104446
yet,0.01112084308618222
reason,0.011110901264353101
overall,0.011025321450380376
oscar,0.010970528089353726
none,0.010965655059588797
idiotic,0.010949799067403676
ludicrous,0.01093415875485848
fails,0.010928030958854196
small,0.010847626728312965
who,0.01069544060265204
laughable,0.01068340369875298
extremely,0.010657861408222447
cameron,0.01059756100496878
worse,0.01057903471313415
has,0.01050204669198429
fantastic,0.010422867460649465
damon,0.010400633276015148
culture,0.010262298655097424
unique,0.010244792671127545
political,0.010205506371417039
strong,0.010132131758623042
history,0.010114834902152703
an,0.010080939332193783
badly,0.010064083530445633
visual,0.010052921679089333
beautifully,0.010037284168986638
friends,0.009973735966393837
insulting,0.009971626670852718
only,0.009964177445590972
dark,0.009947980324348071
jackie,0.009916185260888333
young,0.009880258080684934
him,0.009875108676908662
animated,0.009802572658065056
sadly,0.009767086909721834
animation,0.009723884715316933
not,0.00970123201568418
throughout,0.0096847909840444
powerful,0.009632786245057257
takes,0.009563566525808476
guess,0.009520139069058464
avoids,0.009509401318645971
court,0.009506265802744718
works,0.009501441773298258
complex,0.009441737388663163
into,0.009433888029966142
breathtaking,0.0094304122167993
like,0.009378508271009167
anyway,0.009356718892200355
people,0.009348549811239226
stupidity,0.009344517007415565
finds,0.00930377012612793
fascinating,0.009276142757434935
view,0.009258016142358438
captures,0.009248208752555054
always,0.009220923022708716
did,0.009201973104840833
their,0.009136883239015958
bore,0.00910113974843585
any,0.009092637161667416
sometimes,0.009084852652327058
save,0.00905182806249294
predictable,0.009033421908740125
mother,0.00903238573928189
simple,0.009005665443530764
if,0.008989928035147199
death,0.008968872511390225
sucks,0.008967961312796646
painfully,0.008881408860604623
embarrassing,0.008881408860604623
ending,0.008865965929412134
was,0.00883678661692755
action,0.008814268238098277
so,0.008810317447232374
ordinary,0.008808615233179218
seen,0.008792801573524023
destined,0.008789943953380175
religion,0.008754829451029011
satisfying,0.008729775932272532
get,0.008687674331677497
inept,0.008645040717900287
girls,0.008593315768547938
than,0.008550216212815376
social,0.008515054591891502
nevertheless,0.008512856881316866
first,0.008481836634354645
off,0.008465305966338543
better,0.008464380039627906
america,0.008456166575375512
shows,0.00843607902935306
big,0.008379041609634208
share,0.008377591014537833
while,0.008373695754665178
there,0.008371943713066488
