Feature,Score
and,0.07662460203109889
the,0.07157591570765309
bad,0.06891904992439435
of,0.047712645518074304
worst,0.04525024801942501
is,0.04240880022443627
his,0.03921049142102995
as,0.03613157538031342
life,0.03315317551123931
stupid,0.03159690376582891
boring,0.03048372550338252
in,0.02817306649762852
movie,0.027216182466675898
ridiculous,0.02605916353193438
most,0.02595075607125441
waste,0.02576402558911195
great,0.02568790565263579
awful,0.02474205111161676
supposed,0.02409295795872446
mess,0.02319530171120987
perfect,0.023145924794292783
he,0.022728249989527383
wasted,0.02260180218701069
outstanding,0.022505269741985856
from,0.022201646688366328
best,0.02190582312976408
also,0.021142754927309104
perfectly,0.021059445469316374
plot,0.0204754138932447
world,0.020462756573311314
subtle,0.02017627056778326
wonderfully,0.019662079355949325
wonderful,0.019488792788145415
lame,0.0188819251792246
both,0.018684021290228725
it,0.018659905519312625
true,0.01818933931483524
memorable,0.017864420345783172
dull,0.017851866311958675
why,0.01771769091951636
poorly,0.017525255517087945
terrible,0.01730644443843188
excellent,0.016995864870207433
family,0.016920015941465527
bland,0.016620613908543858
hilarious,0.01644257253971948
performances,0.01642526845474812
effective,0.016420033903614906
very,0.01641187111738862
for,0.016271429748675237
realistic,0.01623363832923963
different,0.015750582733040863
that,0.015729054095984685
many,0.015501602548912308
script,0.01538071764963711
allows,0.015363059398702306
unfortunately,0.01535082142143862
performance,0.015233484706858924
own,0.015189497215506553
especially,0.015167475048877277
you,0.015075396497015614
american,0.015061282373575624
gives,0.014903214665550335
finest,0.01431810977938286
unfunny,0.014266815217165663
poor,0.014080911949780561
terrific,0.01383732680014138
star,0.013808246745987796
quite,0.013785111353905588
no,0.013737045887151744
maybe,0.013695698590294736
least,0.01355960553582003
brilliant,0.013310952292086564
portrayal,0.013306120692045176
more,0.012933259260282326
ludicrous,0.012932104084735885
looks,0.012878063222814595
job,0.012852709661350659
superb,0.01276438625323617
its,0.012712762773281483
although,0.012677592848751695
oscar,0.012589710951710797
others,0.012452829482185512
who,0.012392222114658846
seen,0.012204870753750985
nothing,0.012175749053431995
story,0.01215275105404312
yet,0.01202048744516282
her,0.011988651803885864
dark,0.011979451193019353
era,0.011964534032341323
young,0.011725660768652446
stupidity,0.011612650950997616
solid,0.011576243295333799
bore,0.011401228094481408
tale,0.011271155385136233
view,0.011261204978116779
but,0.011186365359664996
would,0.011163965256047237
fantastic,0.011153483750682036
town,0.011098446779726046
pointless,0.011072650913052429
often,0.01106917013975206
culture,0.011052973240352038
takes,0.011036495438447758
works,0.011027300172636312
normal,0.011016460659723726
portrayed,0.010945098851235624
have,0.010938553673037865
deserves,0.01084093382287743
sometimes,0.010823354203575275
unique,0.010820287444678778
if,0.010721914814761035
their,0.010616339597916413
this,0.010611189101981444
political,0.010560726606629323
small,0.010555082300278351
apparently,0.010459702502382484
friends,0.010454815506640625
