Feature,Score
bad,0.047338566050907686
and,0.04661593823834738
the,0.04295068251064217
worst,0.0334132768214125
of,0.02828669963485907
his,0.02420926411934938
stupid,0.02338410375533081
is,0.022988944646005552
as,0.020810853450853244
life,0.020750270515271743
in,0.020310790248266264
waste,0.01939700534898987
boring,0.019128778574186156
movie,0.01843894547180859
wasted,0.017461831896769524
awful,0.01704483835507552
ridiculous,0.016781597353377843
mess,0.016634326459540563
great,0.016410609758843796
also,0.01575276696777282
most,0.01564009115587432
supposed,0.015465380679922178
plot,0.015453609712056617
both,0.015394525769440323
lame,0.014461009744978406
perfect,0.014031400030703845
wonderful,0.013935609046892238
outstanding,0.013848092560814193
perfectly,0.013700846567014327
from,0.013513708089493218
he,0.013426564439230062
best,0.013293080581095119
excellent,0.01327169899425525
it,0.01293050950128767
wonderfully,0.012744051305908327
why,0.011939677316014282
pointless,0.011885241599944567
very,0.011756506581004144
terrible,0.011713796729283233
family,0.01169162118876482
poorly,0.011407957733406505
dull,0.011392723224640449
allows,0.011386734776642121
true,0.01135575746510443
nothing,0.011267672409164932
memorable,0.01098714516188974
many,0.010789719056151538
realistic,0.010784255836361917
this,0.01074147804358507
bland,0.010645576518867932
quite,0.010598798899280662
subtle,0.01054108382245074
maybe,0.01038061902931179
own,0.01036327655513178
world,0.010349282564161556
fails,0.010055092556041431
performances,0.010035429662216603
hilarious,0.010007853494741889
american,0.009988039588706754
different,0.009908315076298847
brilliant,0.0098826217871383
terrific,0.009815037760375615
would,0.00961854503872999
have,0.009587000756853243
worse,0.009569935685737569
finest,0.00947314118729606
script,0.009427749328042382
star,0.009283030186005974
that,0.009274542359618158
portrayal,0.009223100041881805
effective,0.009209863074624701
superb,0.009189504834797045
no,0.009116567419400173
era,0.009067123070945066
for,0.008994009606348887
you,0.008930959298970429
but,0.008837163030406566
people,0.008807489832978951
we,0.008797972447967565
stupidity,0.008796751268683272
unfortunately,0.008727251223967947
often,0.008689219724476956
unfunny,0.008649163457458395
ludicrous,0.008648327656536902
who,0.008595464506055786
job,0.008576344266488711
its,0.008532193745175047
her,0.008485036334388709
solid,0.008430684058518951
least,0.008415985973685505
young,0.008413158190327605
if,0.008267664694110966
