Feature,Score
and,0.053112126859384406
the,0.049612644168756326
bad,0.04777104514196413
of,0.03307188571790954
worst,0.03136508183430209
is,0.02939554030649825
his,0.027178641576857065
as,0.02504449960405361
life,0.02298003013222446
stupid,0.021901304759707682
boring,0.02112970838563373
in,0.019528081610559456
movie,0.01886482014238159
ridiculous,0.018062835729911762
most,0.017987693404189063
waste,0.01785826169696642
great,0.017805499377614144
awful,0.01714988296928693
supposed,0.016699965880438938
mess,0.016077757983361963
perfect,0.016043532512617392
he,0.01575402239930251
wasted,0.015666375461499883
outstanding,0.01559946426939831
from,0.015389008805829071
best,0.015183959540241144
also,0.014655040967134155
perfectly,0.014597295251212082
plot,0.014192475410901108
world,0.014183702025275847
subtle,0.013985125058274352
wonderfully,0.013628714869522551
wonderful,0.013508601773620184
lame,0.013087953201522944
both,0.012950776678844752
it,0.012934060900226727
true,0.012607889262325778
memorable,0.012382672595017215
dull,0.012373970801866549
why,0.012280967506896305
poorly,0.012147581450263036
terrible,0.011995913168016112
excellent,0.011780635815962073
family,0.011728061344855883
bland,0.011520531669882851
hilarious,0.011397122797059192
performances,0.011385128519348841
effective,0.011381500204989313
very,0.011375842192731911
for,0.011278495653973568
realistic,0.011252300638141872
different,0.010917472013583304
that,0.010902549499506801
many,0.010744892100939612
script,0.010661101073835257
allows,0.010648861306985405
unfortunately,0.01064037858754966
performance,0.01055904697466294
own,0.010528557169051456
especially,0.01051329256634232
you,0.010449468577729795
american,0.010439685412861558
gives,0.010330121226706124
finest,0.009924557424527377
unfunny,0.009889002743349216
poor,0.00976014441770397
terrific,0.009591304058004008
star,0.009571147300457472
quite,0.0095551110686649
no,0.009521794625901778
maybe,0.009493134863662399
least,0.009398802346659057
brilliant,0.009226449051827287
portrayal,0.009223100041881805
more,0.00896465219171564
ludicrous,0.008963851485042805
looks,0.008926393213967054
job,0.008908819464321666
superb,0.008847598343008982
its,0.008811815673427786
although,0.008787437739400102
oscar,0.008726522650242674
others,0.008631643645571452
who,0.008589633819648335
seen,0.008459771752061971
nothing,0.008439586127591806
story,0.008423645129157241
yet,0.008331966981571294
her,0.00830990019657862
dark,0.008303522819097003
era,0.008293183031230961
young,0.008127608701993565
stupidity,0.008049276265510427
solid,0.008024040401636868
bore,0.007902729108610479
tale,0.007812569576860828
view,0.007805672480288642
but,0.007753797609765413
would,0.0077382710410986094
