Feature,Score
and,0.050162053535985046
the,0.047867071774324504
bad,0.04557844525156904
worst,0.033415687890853446
of,0.030882385978732926
stupid,0.02535834114571862
his,0.02520228328115375
life,0.024690605783769234
is,0.023937671800398422
as,0.023304806582415186
boring,0.021823380662488512
in,0.021544458363892207
wasted,0.019324750757127244
great,0.018038106323689906
awful,0.01768820386060129
waste,0.017248888434590975
most,0.0166019619656498
ridiculous,0.016425965731396732
also,0.01608428546673218
from,0.015527055488764471
supposed,0.01551630023909311
perfect,0.015472349411465483
he,0.01506400269928989
movie,0.014887357490692314
lame,0.014866783470893097
mess,0.014678678729311246
wonderful,0.01465014658698469
world,0.014423551688399358
best,0.014315897154723905
both,0.013996442206459441
wonderfully,0.013821949668987145
plot,0.013790785936511916
outstanding,0.013501830938439515
why,0.01333647868828917
memorable,0.013060047538058334
it,0.012731144396033327
excellent,0.012226296687633337
performances,0.01210374756367455
many,0.012041843383885902
true,0.011877189563051966
script,0.011706776528857377
hilarious,0.011583978866626347
dull,0.011573049152336815
perfectly,0.011493022209341001
maybe,0.011384072737311896
very,0.011355178155485136
effective,0.011116890156912508
different,0.011076841259464875
for,0.010925340289302726
star,0.010796823381760884
terrible,0.010725468977124175
that,0.010686992261297138
terrific,0.010487265088243578
own,0.010413727824845632
poorly,0.010384890374528881
we,0.01036749195926899
finest,0.010321311987675606
american,0.010252736641493766
subtle,0.010249939022709398
family,0.01024240902947671
least,0.010219687955848517
allows,0.010133377105844457
poor,0.010123954150773416
although,0.009999975399925136
performance,0.009963597016540222
war,0.00989435683698377
unfortunately,0.009823242033089548
nothing,0.009712046193803949
especially,0.009539525890991246
deserves,0.009438491078709609
quite,0.009415410208219956
realistic,0.009372722790492224
bland,0.009371719017508957
brilliant,0.009300181122386644
unfunny,0.00915579651802104
its,0.009154194575829588
this,0.009150736596491342
pointless,0.009073293719330605
story,0.008960955930889348
would,0.008954382601008223
more,0.0089382602791486
job,0.008773888995010424
minute,0.008702017323734781
often,0.008644194781468155
she,0.008584915723830844
superb,0.00847490075303524
have,0.008419982444915741
looks,0.008401849668196095
her,0.008394851610005714
you,0.00837790736486279
tale,0.008174219409190348
town,0.008164927950180529
others,0.008130711936769414
but,0.008077108935863409
no,0.00802909614976784
gives,0.008020431574961805
era,0.007985836257423433
portrayal,0.007983511244448975
films,0.007969533626063447
am,0.007968269654081732
solid,0.007958501791137962
flaws,0.007899370533799969
jokes,0.007791922744100326
they,0.007718902119635461
yet,0.00770838103063716
reason,0.007701489884866302
overall,0.007642170478097425
oscar,0.007604190614388869
none,0.00760081288754757
idiotic,0.007589822351269657
ludicrous,0.007578981312724315
fails,0.007574733848201358
small,0.007519001882496679
who,0.007413514498574988
laughable,0.007405171152574285
extremely,0.007387466585907472
cameron,0.007345669531407061
worse,0.007332828084455508
has,0.007279464054657887
fantastic,0.007224581193699071
damon,0.007209169631308514
culture,0.00711328337884507
unique,0.007101149155413444
political,0.00707391796753405
strong,0.00702305856155176
history,0.007011069294257264
an,0.006987574675506515
badly,0.006975891124048781
visual,0.006968154318251178
beautifully,0.006957315222211822
friends,0.0069132669647559
insulting,0.006911804912498842
only,0.006906641503010093
dark,0.006895414514088195
jackie,0.006873375855495691
young,0.006848473031830808
him,0.006844903737122522
animated,0.0067946256001721935
sadly,0.006770028753757993
animation,0.00674008327451228
not,0.006724381619629596
throughout,0.00671298556490337
powerful,0.00667693862669781
takes,0.006628959173462407
guess,0.006598857554257188
avoids,0.006591414712832838
court,0.006589241338825866
works,0.006585897576415693
complex,0.006544513650539128
into,0.006539072889689294
breathtaking,0.006536663639591605
like,0.006500686565908621
anyway,0.006485583319420863
people,0.0064799209439849095
stupidity,0.006477125617385372
finds,0.0064488820315035545
fascinating,0.006429732198788238
view,0.006417167786653938
captures,0.006410369822064239
always,0.0063914567953512694
did,0.006378321713209016
their,0.006333204856229499
bore,0.006308429356509266
any,0.0063025358124646266
sometimes,0.006297140001764162
save,0.006274249100430894
predictable,0.00626149092685112
mother,0.00626077270891312
simple,0.0062422516112490434
if,0.006231343270999556
death,0.00621674869407174
sucks,0.006216117099335265
painfully,0.006156123511128216
embarrassing,0.006156123511128216
ending,0.006145419286912788
was,0.006125193728733115
action,0.006109585177936979
so,0.006106846698387026
ordinary,0.006105666813515711
seen,0.0060947056199114075
destined,0.006092724868566362
religion,0.006068385350264835
satisfying,0.006051019574375125
get,0.006021836968625403
inept,0.005992285599438402
girls,0.005956432596629849
than,0.005926558261091125
social,0.005902186082683775
nevertheless,0.005900662745795544
first,0.005879161149073045
off,0.0058677029631447756
better,0.005867061159656594
america,0.005861368020066494
shows,0.0058474443941768615
big,0.00580790906751252
share,0.005806903591610853
while,0.00580420360321313
there,0.005802989180518668
magnificent,0.0057904334423832075
portrayed,0.0057834771564501865
may,0.005753907078235496
epic,0.005706884525513463
personal,0.0056942865244777145
