Feature,Score
and,0.05123834534072983
the,0.04968565799298121
bad,0.042773320731101974
worst,0.030601372000505753
of,0.030314216020974654
is,0.02789062715470527
his,0.027224465204202675
boring,0.024552455364974864
life,0.023574542735112405
stupid,0.023486961521903424
as,0.023250446597664842
in,0.021660193211025115
wasted,0.018583209245655295
great,0.018193430391888976
also,0.01810021265170688
waste,0.017820964822991843
most,0.0177449861492966
supposed,0.017602433406383598
outstanding,0.01665766303174887
awful,0.01640683411050674
ridiculous,0.01637977176551545
excellent,0.015120768422119103
world,0.01497786369210654
best,0.014973908666818317
many,0.0149225630144315
from,0.01481454857148759
perfect,0.01467284677725711
movie,0.014659582001773456
he,0.014363550819163538
wonderful,0.014213585086988157
memorable,0.01373313715652728
mess,0.013671012069929867
lame,0.013564252340174773
very,0.01353316066138607
wonderfully,0.012960127988456433
both,0.01283252532224869
allows,0.012595764200301222
plot,0.01246864578518468
terrible,0.012439044449566276
own,0.012333623374224648
true,0.012297885589244453
dull,0.01219976191409251
script,0.012065505813044705
family,0.011832392582983286
star,0.011775158075706466
poorly,0.01171227078872043
terrific,0.01157636270555374
bland,0.011300264448811045
why,0.010992771705882821
different,0.01080574875841632
realistic,0.0107855380431175
subtle,0.01067878444309827
quite,0.010667267152207099
era,0.01057503056514349
for,0.01047490531821688
perfectly,0.01023043046374712
brilliant,0.01019346469814192
job,0.009958834759287317
that,0.009771463901142936
performance,0.009643988759274554
american,0.0095355601144111
have,0.009382392396290143
unfunny,0.009359043492250734
well,0.00934777249974441
you,0.009343668277011996
worse,0.00923960976283084
its,0.009130567862168502
finest,0.009076703180037055
it,0.009068525415656128
effective,0.009064373236445683
maybe,0.00901195418044242
unfortunately,0.008971389169340711
portrayal,0.008959801468977568
especially,0.008936738550597848
story,0.00890040874274245
nothing,0.008888351285773356
least,0.008888166809118747
more,0.00884160244878231
pointless,0.008819040983497714
we,0.00881184173147709
gives,0.008702645629247056
only,0.008631354746951252
ludicrous,0.008615076920768548
performances,0.008557441641263123
dark,0.008532109218306414
yet,0.008473608379382349
war,0.008405939560507444
reason,0.008352952286778308
would,0.008296965636331491
others,0.008296716776992286
laughable,0.008250463282520638
fails,0.00816450642246674
magnificent,0.00816257275438888
people,0.008143725066713148
political,0.008127838191951729
visual,0.008117755981029573
hilarious,0.00799061104896601
fantastic,0.007988927156738636
history,0.007969771821560315
superb,0.007920329634116513
no,0.007879913014858513
this,0.007847236432476451
view,0.007805672480288642
idiotic,0.007757855456822772
although,0.007752227903264561
but,0.007737798496812216
oscar,0.007722843119623147
culture,0.007666432768754975
flaws,0.007653601951357756
action,0.007649737315783665
beautifully,0.00764935485766576
works,0.00760483188692692
am,0.007562467843620883
seen,0.007552270219423236
if,0.007501075513597549
into,0.007480188034831265
intelligent,0.007436097585821351
her,0.0073714683675142915
not,0.007325500593774344
murphy,0.007270302299994744
bore,0.007257955043025489
looks,0.007231999177395108
minute,0.007214376197745391
none,0.007199592520224556
damon,0.007187977078599412
overall,0.007173818164037879
anger,0.0071446506179413775
powerful,0.007057847451604898
young,0.007057696985738573
strong,0.007055482215274869
often,0.007029857368607054
stupidity,0.007000788859764015
who,0.006964532413874213
films,0.00693677828599943
sucks,0.006911804912498842
captures,0.006894460997446282
heres,0.006886157931819653
him,0.006867137897601702
she,0.006862768321760606
inept,0.006833028298568402
flawless,0.006803197426027138
their,0.006776916746742797
portrayed,0.0067435285128133685
poor,0.006717272709460893
being,0.00671662582716478
mother,0.006703800476845538
cameron,0.006611037236714457
always,0.006598635895065456
tale,0.006575870615881595
an,0.0065330274740048305
project,0.0065174237503187495
other,0.0065117439217580505
george,0.006487757696091424
jackie,0.00648470323072233
they,0.006439647454518499
america,0.006393866511346465
so,0.006390311313835904
solid,0.006367912213786084
complex,0.006339721020824885
first,0.006339022398612729
whatsoever,0.0063269452206561536
animated,0.0062919401562147766
teacher,0.006281402755030531
get,0.006265753429505633
small,0.0062602833771919775
badly,0.0062325111332501276
masterpiece,0.0062312118939219716
one,0.0062254477706503684
mature,0.006224825862654916
lifeless,0.00622234119040988
breathtaking,0.00622234119040988
insulting,0.006216117099335265
simple,0.006214287918508589
fiction,0.006150937139594267
beautiful,0.006145452864578743
right,0.006141246772388165
attempt,0.006134149221509568
nomination,0.00613350411848429
sometimes,0.006130820746589265
predictable,0.00609350375928221
mood,0.006093212014676552
however,0.006024983683874604
while,0.006018908690354978
clich,0.006010885063986874
