Feature,Score
and,0.049220499536578484
the,0.04836625491400305
bad,0.04634625865057411
of,0.03192180419729498
worst,0.030495545370581974
is,0.027329193043004657
his,0.02611716963371529
boring,0.02351472301333268
as,0.023291560585215393
stupid,0.022764579442907565
life,0.02245272484091799
in,0.020984367453520385
waste,0.0178640967188538
also,0.01748946842726381
he,0.017047703531742994
great,0.01681683049914227
movie,0.01671778871184576
most,0.016630891409134523
awful,0.01633902477235753
perfect,0.016223998686444648
ridiculous,0.01612421842981426
supposed,0.0160240634445183
from,0.015608857747918214
wasted,0.015517380810567517
best,0.015488343655082587
mess,0.015281985434276826
outstanding,0.014794869900682578
plot,0.014700370230858087
dull,0.013202773265231452
why,0.012909158804433779
world,0.012904058544357108
perfectly,0.012555681184440039
wonderful,0.01252014852670312
excellent,0.012508375428187314
effective,0.01237401893075761
who,0.012346313092772447
both,0.01234477958674347
terrible,0.012242184523703452
that,0.012179175451725168
wonderfully,0.012157454296510552
many,0.012119350809088143
lame,0.012008076710830318
least,0.01197061896880939
for,0.011958868174561493
allows,0.011803640778982341
memorable,0.011607876370264713
own,0.011403384273752102
true,0.011259774715375535
brilliant,0.011109337160363808
maybe,0.011040065404976507
very,0.011039222554630308
subtle,0.01102241644785873
it,0.010971553161194827
terrific,0.010738249197836423
performance,0.010532186071577083
this,0.010507126116760523
realistic,0.010494419531928145
script,0.010408154772283762
family,0.010285360396256703
pointless,0.010210660846146274
oscar,0.01010200501885985
performances,0.009881369883252625
more,0.009869877168325252
poorly,0.009810542125350027
finest,0.00979858239986219
different,0.009757398583009983
nothing,0.009651340994012913
unfortunately,0.009580218282071132
unfunny,0.009578391629350858
although,0.00957301366305234
star,0.009513355881307337
job,0.009357334897414466
ludicrous,0.00931420661716296
its,0.009251842813066291
era,0.009239438426999532
strong,0.009037571165631293
quite,0.00901903413851313
only,0.008989905246991885
young,0.008917979753380732
others,0.008901926436062878
well,0.008869709381533447
gives,0.00882260208382854
overall,0.008805172838353427
have,0.008798764807099175
you,0.00869617407483542
no,0.008664753952248617
always,0.008469949086756924
superb,0.008467280092813223
war,0.008372190505090424
bland,0.008347079622370003
hilarious,0.008324569215842091
sometimes,0.008304149661477266
portrayal,0.008300704338980919
breathtaking,0.0082681150284418
fails,0.008156608697455426
yet,0.008148045066859531
would,0.008100805202249463
but,0.008043626959639142
american,0.008043356734530882
they,0.0080029998208675
poor,0.007970787543791552
often,0.007957207194599563
deserves,0.007937968166782605
cameron,0.007922854131683484
especially,0.007921365483525266
seen,0.0079024105872731
her,0.007881323965487543
am,0.00783136638214602
political,0.007774000765743576
solid,0.007771618707257857
story,0.007705485561642236
captures,0.007655811556413156
beautifully,0.00764935485766576
worse,0.007647711927834543
films,0.007592263071295761
looks,0.007571705505433218
first,0.007548431535492377
has,0.007522370523312859
people,0.007467570217112109
small,0.007434814058624339
none,0.007392572498002023
dark,0.007365224746288469
damon,0.007348871796181853
tale,0.007339085725748495
we,0.007330917285249384
him,0.0073279193532594135
anger,0.0073251369134808755
not,0.007269913455893764
portrayed,0.00723440841608697
reason,0.007215882434010144
turkey,0.007196348084485136
guess,0.007149934224574463
was,0.007138896589158471
painfully,0.007008321750218347
if,0.0069509959421621345
action,0.006936404932336533
takes,0.006919795128134388
visual,0.006828241764551482
idiotic,0.006819526177896501
america,0.006788642530318882
moving,0.0067409707197203395
works,0.006661374262447246
she,0.00664775643279482
minute,0.006552238493966696
powerful,0.0065384858507796725
may,0.006533690738191814
their,0.006532586195252033
town,0.006501540375206554
flaws,0.006488418802080552
get,0.006462782378777875
masterpiece,0.006460345824116639
better,0.006446732949087387
fiction,0.006440862275127702
period,0.006437560617349108
animated,0.006432941151237536
history,0.00643212047333218
culture,0.00642835988418221
fantastic,0.006373146388085468
an,0.0063495049113131904
view,0.00631270838713327
sucks,0.00630077809041254
inept,0.006281023432248813
badly,0.006271335635107912
finds,0.0062662946672757125
john,0.006230020003351804
right,0.006219491506156399
like,0.0062050745991130765
slip,0.006201169294322184
fascination,0.006201169294322184
mother,0.006166433505083609
heres,0.006134632955105308
beautiful,0.006114962377084948
nomination,0.0061118959444305156
personal,0.006094628367249657
simple,0.006063594059321074
flawless,0.006033529887031923
refreshing,0.006022183448057668
being,0.006011595833936419
did,0.0059794590283048414
normal,0.0059662421036358266
one,0.005945396473729081
minutes,0.005928432421220991
jackie,0.0059099982992015885
natural,0.005899353242780545
jokes,0.005897379172027907
attempt,0.005885285502570925
extremely,0.00587471213473102
complex,0.005856356420594627
laughable,0.005855866493129858
love,0.0058557180021460865
fascinating,0.005853685375249126
epic,0.00583728687718791
stupidity,0.005834560857207899
insulting,0.005824263038930746
ordinary,0.005815660016395772
pulp,0.005814430064523854
when,0.005805888901703067
filmmakers,0.00580233762398422
guy,0.005801948924094748
social,0.005790836174981448
mood,0.005787499321654198
garbage,0.00577721777104607
while,0.005771867091517311
friendship,0.0057717924251740145
murphy,0.00576011643616616
court,0.005756814226558722
classic,0.005698198084779515
intelligent,0.00569750567898256
despite,0.00569257568242712
year,0.005683608413732595
into,0.00566807645890245
project,0.0056631681288596865
satisfying,0.0056403999919997574
lifeless,0.00562868037700423
just,0.005627197811317895
bore,0.005618326263948689
at,0.00561598822670098
anyway,0.005614437519192198
sets,0.005611742858518481
lucas,0.0056099622937341945
teacher,0.0055923142864588125
shows,0.005575530856481308
black,0.005568200713005583
magnificent,0.00555698906073737
contrast,0.00554745723529158
however,0.005524252123545259
color,0.005492235436361685
throughout,0.005487236435561619
ending,0.005456427492125408
than,0.005442098619406226
problem,0.005428029939792762
will,0.005416484327450925
had,0.005415496721457587
religion,0.005412544514524121
write,0.005402552406415435
do,0.005392297826786574
friends,0.005352342666941012
unique,0.00534710634528586
definitely,0.00534150087065919
apparently,0.0053334076616881705
any,0.00532399493010415
aliens,0.005319355803373819
girls,0.005306692288360734
trailer,0.005301591052558476
nonsense,0.0053005756162029915
change,0.005288709972735919
years,0.005272940962364874
dumb,0.005252486171611052
bunch,0.0052465110353917595
eddie,0.005240389741480346
marvelous,0.005238847075869401
subplot,0.005215979028452273
highly,0.005214258619250079
truman,0.005210136297644342
embarrassing,0.005196743764600557
day,0.005196146707702971
country,0.005185500702593278
movies,0.005185203525200016
colors,0.005182119871481629
still,0.005164286815289956
commanding,0.005151614537916535
nevertheless,0.005118622898956659
bug,0.005112836127651678
sandler,0.00511041647995758
batman,0.005109321510443401
new,0.005108681937381747
wars,0.005096025900977231
joe,0.0050832794934594205
through,0.005083190005315696
spielbergs,0.005069618868351047
german,0.005069397648254443
sidney,0.005054790230459766
reeves,0.0050491973361679685
